literal	pattern	pos
一事無成	一X?Y	v,a
一來一往	ABAC	v,a
一來二去	一X?Y	v,a
一分一秒	ABAC	v,a
一唱一和	ABAC	v,a
一問一答	ABAC	v,a
一夫一妻	ABAC	v,a
一年一度	ABAC	v,a
一往無前	一X?Y	v,a
一心一意	ABAC	v,a
一心二用	一X?Y	v,a
一房一廳	ABAC	v,a
一手一足	ABAC	v,a
一時一刻	ABAC	v,a
一時三刻	一X?Y	v,a
一望無垠	一X?Y	v,a
一清二白	一X?Y	v,a
一驚一乍	ABAC	v,a
一點一滴	ABAC	v,a
七擒七縱	ABAC	v,a
上綱上線	ABAC	v,a
亦步亦趨	ABAC	v,a
亦莊亦諧	ABAC	v,a
人無完人	AxxA	v,a
仁者見仁	AxxA	v,a
今生今世	ABAC	v,a
何年何月	ABAC	v,a
何德何能	ABAC	v,a
何時何地	ABAC	v,a
來回來去	ABAC	v,a
倒買倒賣	ABAC	v,a
做牛做馬	ABAC	v,a
傻裏傻氣	ABAC	v,a
傻頭傻腦	ABAC	v,a
傾國傾城	ABAC	v,a
傾城傾國	ABAC	v,a
像模像樣	ABAC	v,a
先到先得	ABAC	v,a
全始全終	ABAC	v,a
全黨全軍	ABAC	v,a
公事公辦	ABAC	v,a
冇人冇物	ABAC	v,a
利國利民	ABAC	v,a
動刀動槍	ABAC	v,a
動手動腳	ABAC	v,a
半信半疑	ABAC	v,a
半工半讀	ABAC	v,a
半推半就	ABAC	v,a
原汁原味	ABAC	v,a
古色古香	ABAC	v,a
古里古怪	ABAC	v,a
可圈可點	ABAC	v,a
可多可少	ABAC	v,a
可大可小	ABAC	v,a
可有可無	ABAC	v,a
可歌可泣	ABAC	v,a
各就各位	ABAC	v,a
各色各樣	ABAC	v,a
各行各業	ABAC	v,a
吉爾吉斯	ABAC	v,a
同工同酬	ABAC	v,a
同班同學	ABAC	v,a
問寒問暖	ABAC	v,a
問長問短	ABAC	v,a
善始善終	ABAC	v,a
善有善報	ABAC	v,a
嗲聲嗲氣	ABAC	v,a
土生土長	ABAC	v,a
土裏土氣	ABAC	v,a
多勞多得	ABAC	v,a
多嘴多舌	ABAC	v,a
多姿多彩	ABAC	v,a
多姿多采	ABAC	v,a
多子多福	ABAC	v,a
多彩多姿	ABAC	v,a
多才多藝	ABAC	v,a
多種多樣	ABAC	v,a
大包大攬	ABAC	v,a
大吃大喝	ABAC	v,a
大吉大利	ABAC	v,a
大吹大擂	ABAC	v,a
大富大貴	ABAC	v,a
大徹大悟	ABAC	v,a
大手大腳	ABAC	v,a
大搖大擺	ABAC	v,a
大是大非	ABAC	v,a
大紅大紫	ABAC	v,a
大紅大綠	ABAC	v,a
大起大落	ABAC	v,a
大魚大肉	ABAC	v,a
天兵天將	ABAC	v,a
天外有天	AxxA	v,a
夾七夾八	ABAC	v,a
夾手夾腳	ABAC	v,a
好聲好氣	ABAC	v,a
好言好語	ABAC	v,a
如火如茶	ABAC	v,a
如痴如醉	ABAC	v,a
如詩如畫	ABAC	v,a
如醉如痴	ABAC	v,a
孰真孰假	ABAC	v,a
學士學位	ABAC	v,a
學校同學	AxxA	v,a
實話實説	ABAC	v,a
寸土寸金	ABAC	v,a
將信將疑	ABAC	v,a
小打小鬧	ABAC	v,a
屢戰屢敗	ABAC	v,a
屢敗屢戰	ABAC	v,a
常來常往	ABAC	v,a
年復一年	AxxA	v,a
後知後覺	ABAC	v,a
徒子徒孫	ABAC	v,a
徹頭徹尾	ABAC	v,a
忙進忙出	ABAC	v,a
快手快腳	ABAC	v,a
忽上忽下	ABAC	v,a
忽冷忽熱	ABAC	v,a
忽隱忽現	ABAC	v,a
忽高忽低	ABAC	v,a
怪聲怪氣	ABAC	v,a
怪裏怪氣	ABAC	v,a
怯聲怯氣	ABAC	v,a
怯頭怯腦	ABAC	v,a
悠哉悠哉	ABAB	v,a
惡有惡報	ABAC	v,a
愈戰愈勇	ABAC	v,a
愈演愈烈	ABAC	v,a
愣頭愣腦	ABAC	v,a
成千成萬	ABAC	v,a
成雙成對	ABAC	v,a
我愛我家	ABAC	v,a
戒驕戒躁	ABAC	v,a
所作所為	ABAC	v,a
所見所聞	ABAC	v,a
拼死拼活	ABAC	v,a
挨家挨户	ABAC	v,a
挨門挨户	ABAC	v,a
探頭探腦	ABAC	v,a
擒賊擒王	ABAC	v,a
擠來擠去	ABAC	v,a
敢作敢為	ABAC	v,a
敢作敢當	ABAC	v,a
新人新事	ABAC	v,a
旅進旅退	ABAC	v,a
日光日白	ABAC	v,a
日復一日	AxxA	v,a
時大時小	ABAC	v,a
時好時壞	ABAC	v,a
時斷時續	ABAC	v,a
時隱時現	ABAC	v,a
晚婚晚育	ABAC	v,a
暈頭暈腦	ABAC	v,a
暴飲暴食	ABAC	v,a
木口木面	ABAC	v,a
本鄉本土	ABAC	v,a
毛手毛腳	ABAC	v,a
民脂民膏	ABAC	v,a
永生永世	ABAC	v,a
沒心沒肺	ABAC	v,a
沒日沒夜	ABAC	v,a
活學活用	ABAC	v,a
活靈活現	ABAC	v,a
活龍活現	ABAC	v,a
減租減息	ABAC	v,a
渾頭渾腦	ABAC	v,a
滑頭滑腦	ABAC	v,a
滿打滿算	ABAC	v,a
漸行漸遠	ABAC	v,a
濫砍濫伐	ABAC	v,a
火急火燎	ABAC	v,a
火燒火燎	ABAC	v,a
炒買炒賣	ABAC	v,a
熟門熟路	ABAC	v,a
獨來獨往	ABAC	v,a
獨往獨來	ABAC	v,a
獨斷獨行	ABAC	v,a
獨門獨户	ABAC	v,a
現學現用	ABAC	v,a
甕聲甕氣	ABAC	v,a
甩皮甩骨	ABAC	v,a
畏首畏尾	ABAC	v,a
畢恭畢敬	ABAC	v,a
當且僅當	AxxA	v,a
痛定思痛	AxxA	v,a
瘋言瘋語	ABAC	v,a
百戰百勝	ABAC	v,a
盡心盡力	ABAC	v,a
相生相剋	ABAC	v,a
真人真事	ABAC	v,a
真刀真槍	ABAC	v,a
真心真意	ABAC	v,a
知根知底	ABAC	v,a
破罐破摔	ABAC	v,a
礙手礙腳	ABAC	v,a
神乎其神	AxxA	v,a
穩扎穩打	ABAC	v,a
穩紮穩打	ABAC	v,a
童男童女	ABAC	v,a
粗聲粗氣	ABAC	v,a
糊裏糊塗	ABAC	v,a
累死累活	ABAC	v,a
細聲細氣	ABAC	v,a
繞來繞去	ABAC	v,a
美輪美奐	ABAC	v,a
老夫老妻	ABAC	v,a
聞所未聞	AxxA	v,a
能上能下	ABAC	v,a
能屈能伸	ABAC	v,a
能文能武	ABAC	v,a
腳痛醫腳	AxxA	v,a
自動自發	ABAC	v,a
自問自答	ABAC	v,a
自導自演	ABAC	v,a
自強自立	ABAC	v,a
自彈自唱	ABAC	v,a
自暴自棄	ABAC	v,a
自生自滅	ABAC	v,a
自由自在	ABAC	v,a
自立自強	ABAC	v,a
自覺自願	ABAC	v,a
至始至終	ABAC	v,a
若有若無	ABAC	v,a
血債血償	ABAC	v,a
要死要活	ABAC	v,a
見仁見智	ABAC	v,a
見稜見角	ABAC	v,a
親上加親	AxxA	v,a
親力親為	ABAC	v,a
話裏有話	AxxA	v,a
誤打誤撞	ABAC	v,a
賊喊捉賊	AxxA	v,a
賊頭賊腦	ABAC	v,a
載歌載舞	ABAC	v,a
逐字逐句	ABAC	v,a
逛來逛去	ABAC	v,a
速戰速決	ABAC	v,a
閒言閒語	ABAC	v,a
阻頭阻勢	ABAC	v,a
阿貓阿狗	ABAC	v,a
隨傳隨到	ABAC	v,a
隨叫隨到	ABAC	v,a
雙宿雙飛	ABAC	v,a
雜七雜八	ABAC	v,a
離心離德	ABAC	v,a
難上加難	AxxA	v,a
難捨難分	ABAC	v,a
